Mon 05/01/2004 02:00: Success (user = 8.65s system = 0.11s size =  408901 total)
Tue 06/01/2004 02:00: Success (user = 7.61s system = 1.20s size =  408901 total)
Wed 07/01/2004 02:00: Success (user = 8.78s system = 0.08s size =  408901 total)
Thu 08/01/2004 02:00: Success (user = 7.70s system = 1.18s size =  408901 total)
Fri 09/01/2004 02:00: Success (user = 8.82s system = 0.08s size =  408901 total)
Sat 10/01/2004 02:00: Success (user = 8.64s system = 0.15s size =  408901 total)
Mon 12/01/2004 02:00: Success (user = 8.72s system = 0.09s size =  408901 total)
Tue 13/01/2004 02:00: Success (user = 8.79s system = 0.07s size =  408901 total)
Wed 14/01/2004 02:00: Success (user = 8.81s system = 0.12s size =  408901 total)
Thu 15/01/2004 02:00: Success (user = 8.93s system = 0.08s size =  408901 total)
Fri 16/01/2004 02:00: Success (user = 8.70s system = 0.13s size =  408901 total)
Sat 17/01/2004 02:00: Success (user = 8.80s system = 0.09s size =  408901 total)
Mon 19/01/2004 02:00: Success (user = 8.79s system = 0.08s size =  408901 total)
Tue 20/01/2004 02:00: Success (user = 8.70s system = 0.17s size =  408901 total)
Wed 21/01/2004 02:00: Success (user = 8.88s system = 0.10s size =  408901 total)
Thu 22/01/2004 02:00: Success (user = 8.73s system = 0.13s size =  408901 total)
Fri 23/01/2004 02:00: Success (user = 8.69s system = 0.16s size =  408901 total)
Sat 24/01/2004 02:00: Success (user = 8.82s system = 0.12s size =  408901 total)
Mon 26/01/2004 02:00: Success (user = 8.87s system = 0.16s size =  408901 total)
Tue 27/01/2004 02:00: Success (user = 8.67s system = 0.10s size =  408901 total)
Wed 28/01/2004 02:00: Success (user = 8.76s system = 0.06s size =  408901 total)
Thu 29/01/2004 02:00: Success (user = 8.74s system = 0.08s size =  408901 total)
Fri 30/01/2004 02:00: Success (user = 8.63s system = 0.17s size =  408901 total)
Sat 31/01/2004 02:00: Success (user = 8.77s system = 0.05s size =  408901 total)
Mon 02/02/2004 02:00: Success (user = 8.76s system = 0.11s size =  408901 total)
Tue 03/02/2004 02:00: Success (user = 8.73s system = 0.11s size =  408901 total)
Wed 04/02/2004 02:00: Success (user = 8.74s system = 0.11s size =  408901 total)
Thu 05/02/2004 02:00: Success (user = 8.72s system = 0.11s size =  408901 total)
Fri 06/02/2004 02:00: Success (user = 8.80s system = 0.08s size =  408901 total)
Sat 07/02/2004 02:00: Success (user = 8.74s system = 0.13s size =  408901 total)
Mon 09/02/2004 02:00: Success (user = 8.76s system = 0.15s size =  408901 total)
Tue 10/02/2004 02:00: Success (user = 8.71s system = 0.10s size =  408901 total)
Wed 11/02/2004 02:00: Success (user = 8.90s system = 0.10s size =  408901 total)
Thu 12/02/2004 02:00: Success (user = 8.82s system = 0.11s size =  408901 total)
Fri 13/02/2004 02:00: Success (user = 8.80s system = 0.09s size =  408901 total)
Sat 14/02/2004 02:00: Success (user = 8.76s system = 0.10s size =  408901 total)
Mon 16/02/2004 02:00: Success (user = 8.71s system = 0.13s size =  408901 total)
Tue 17/02/2004 02:00: Success (user = 8.78s system = 0.08s size =  408901 total)
Wed 18/02/2004 02:00: Success (user = 8.84s system = 0.13s size =  408901 total)
Thu 19/02/2004 02:00: Success (user = 8.87s system = 0.12s size =  408901 total)
Fri 20/02/2004 02:00: Success (user = 8.86s system = 0.05s size =  408901 total)
Tue 24/02/2004 02:00: Success (user = 8.82s system = 0.12s size =  408901 total)
Wed 25/02/2004 02:00: Success (user = 8.85s system = 0.11s size =  408901 total)
Thu 26/02/2004 02:00: Success (user = 8.84s system = 0.07s size =  408901 total)
Fri 27/02/2004 02:00: Success (user = 8.93s system = 0.11s size =  408901 total)
Tue 02/03/2004 02:00: Success (user = 8.86s system = 0.08s size =  408901 total)
Wed 03/03/2004 02:00: Success (user = 8.83s system = 0.11s size =  408901 total)
Fri 05/03/2004 02:00: Success (user = 8.88s system = 0.13s size =  408901 total)
Sat 06/03/2004 02:00: Success (user = 8.80s system = 0.06s size =  408901 total)
Mon 08/03/2004 02:00: Success (user = 8.81s system = 0.10s size =  408901 total)
Tue 09/03/2004 02:00: Success (user = 8.92s system = 0.07s size =  408901 total)
Wed 10/03/2004 02:00: Success (user = 8.71s system = 0.11s size =  408901 total)
Thu 11/03/2004 02:00: Success (user = 8.82s system = 0.10s size =  408901 total)
Fri 12/03/2004 02:00: Success (user = 8.78s system = 0.07s size =  408901 total)
Sat 13/03/2004 02:00: Success (user = 8.66s system = 0.13s size =  408901 total)
Mon 15/03/2004 02:00: Success (user = 8.70s system = 0.11s size =  408901 total)
Tue 16/03/2004 02:00: Success (user = 8.80s system = 0.08s size =  408901 total)
Wed 17/03/2004 02:00: Success (user = 8.78s system = 0.15s size =  408889 total)
Thu 18/03/2004 02:00: Success (user = 8.71s system = 0.10s size =  408889 total)
Fri 19/03/2004 02:00: Success (user = 8.70s system = 0.13s size =  408889 total)
Sat 20/03/2004 02:00: Success (user = 8.74s system = 0.11s size =  408889 total)
Mon 22/03/2004 02:00: Success (user = 8.78s system = 0.07s size =  408889 total)
Tue 23/03/2004 02:00: Success (user = 8.81s system = 0.06s size =  408889 total)
Wed 24/03/2004 02:00: Success (user = 8.76s system = 0.06s size =  408889 total)
Thu 25/03/2004 02:00: Success (user = 8.74s system = 0.07s size =  408889 total)
Fri 26/03/2004 02:00: Success (user = 9.05s system = 0.09s size =  408889 total)
Sat 27/03/2004 02:00: Success (user = 8.81s system = 0.12s size =  408889 total)
Mon 29/03/2004 02:00: Success (user = 8.86s system = 0.11s size =  408886 total)
Tue 30/03/2004 02:00: Success (user = 8.82s system = 0.07s size =  408886 total)
Wed 31/03/2004 02:00: Success (user = 9.01s system = 0.08s size =  408886 total)
Thu 01/04/2004 02:00: Success (user = 8.87s system = 0.06s size =  408886 total)
Fri 02/04/2004 02:00: Success (user = 8.69s system = 0.15s size =  408886 total)
Sat 03/04/2004 02:00: Success (user = 8.82s system = 0.09s size =  408886 total)
Mon 05/04/2004 02:00: Success (user = 8.80s system = 0.09s size =  408886 total)
Tue 06/04/2004 02:00: Success (user = 8.80s system = 0.13s size =  408886 total)
Wed 07/04/2004 02:00: Success (user = 8.87s system = 0.11s size =  408886 total)
Thu 08/04/2004 02:00: Success (user = 8.77s system = 0.08s size =  408886 total)
Fri 09/04/2004 02:00: Success (user = 8.78s system = 0.09s size =  408886 total)
Sat 10/04/2004 02:00: Success (user = 8.86s system = 0.10s size =  408886 total)
Mon 12/04/2004 02:00: Success (user = 8.75s system = 0.09s size =  408886 total)
Tue 13/04/2004 02:00: Success (user = 8.79s system = 0.15s size =  408886 total)
Wed 14/04/2004 02:00: Success (user = 8.78s system = 0.08s size =  408886 total)
Thu 15/04/2004 02:00: Success (user = 8.94s system = 0.07s size =  408886 total)
Fri 16/04/2004 02:00: Success (user = 8.66s system = 0.15s size =  408886 total)
Sat 17/04/2004 02:00: Success (user = 8.85s system = 0.09s size =  410082 total)
Mon 19/04/2004 02:00: Success (user = 8.81s system = 0.10s size =  410082 total)
Tue 20/04/2004 02:00: Success (user = 8.72s system = 0.13s size =  410082 total)
Wed 21/04/2004 02:00: Success (user = 8.84s system = 0.12s size =  410082 total)
Thu 22/04/2004 02:00: Success (user = 8.80s system = 0.12s size =  410082 total)
Fri 23/04/2004 02:00: Success (user = 8.78s system = 0.12s size =  410082 total)
Sat 24/04/2004 02:00: Success (user = 8.81s system = 0.11s size =  410082 total)
